Topic,Count,Name,Representation,Representative_Docs
0,785,0_brian_thompson_the_of,"['brian', 'thompson', 'the', 'of', 'ceo', 'to', 'in', 'and', 'was', 'for']","['Brian Thompson, the CEO of UnitedHealthcare who was shot, was sued for fraud and illegal insider trading\n\nThompson sold 31% of his company shares, making a $15 million profit\n\nThompson faced up to $5 million in penalties and 20 years of prison time.', 'The death of UnitedHealthcare CEO Brian Thompson coincidences\n\nUnitedHealthcare CEO Brian Thompson was in the middle of a federal lawsuit for INSIDER TRADING and fraud\nHe worked with NANCY PELOSI to get grants\nPelosi traded on inside information right BEFORE UnitedHealthcare had…', 'Do you believe that the CEO Brian Thompson killed people by denying them care. Is that not murder?']"
1,782,1_mangione_luigi_hero_is,"['mangione', 'luigi', 'hero', 'is', 'the', 'free', 'to', 'this', 'in', 'and']","['Free Mangione!', 'Free Mangione.', 'Luigi Mangione is the hero of the people.']"
2,754,2_luigi_need_we_you,"['luigi', 'need', 'we', 'you', 'him', 'to', 'this', 'the', 'for', 'thank']","['we need to luigi him', 'LUIGI WE NEED YOU', 'LUIGI WE NEED YOU!']"
3,714,3_mangione_the_luigi_is,"['mangione', 'the', 'luigi', 'is', 'of', 'to', 'and', 'for', 'healthcare', 'ceo']","['Senator Fetterman is wrong about Luigi Mangione and social media. Luigi Mangione is a hero for those with health insurance that are just as rotten as United Healthcare’s.', 'he killed a ceo is what he did, he was a brave italian killer and in this house luigi mangione is a hero, end of story', ""What's y'all stance on the Luigi Mangione murder case of the CEO of United healthcare?? \nI just read his manifesto and that man is a martyr for all of us!""]"
4,668,4_brian_thompson_of_the,"['brian', 'thompson', 'of', 'the', 'was', 'and', 'to', 'people', 'for', 'he']","['Brian Thompson was an evil, greedy man. His company has a denial rate of over 30%. So tell me how you can support a man who is responsible for thousands of deaths in America? Brian Thompson is also a murderer. I don’t condone violence but he had it coming… 🤷🏻\u200d♀️', ""The CEO Brian Thompson had 'zero remorse' for taking the lives of hundreds of thousands of Americans who will not be with their 'loved ones' at Christmas because they were mass-murdered by Brian Thompson. So think about those countless thousands of families as well."", ""He's a murderer for sure, but so is Brian Thompson for denying healthcare, which people with families died. Brian Thompson should be in prison for murder.""]"
5,628,5_unitedhealthcare_the_to_of,"['unitedhealthcare', 'the', 'to', 'of', 'for', 'and', 'insurance', 'they', 'in', 'health']","['„That’s where UnitedHealthcare went wrong. They violated their contract with my mother, with me, and tens of millions of other Americans. This threat to my own health, my family’s health, and the health of our country’s people requires me to respond with an act of war.“', ""United Health has one of the highest claims denials in the industry. They didn't generate $379.5 billion in revenue in 2024 for nothing.\n\nUnitedHealthcare's track record of rejecting claims has come under fire from patients who claim the insurer refuses to cover their care."", 'This is what gets me about Conservatives who claim the UnitedHealthcare CEO was just an innocent father. Nobody who’s the CEO of a corporation that large denying claims left and right is innocent. Insurance in this company is garbage, and it’s because of corrupt bastards like him']"
6,545,6_luigi_the_is_and,"['luigi', 'the', 'is', 'and', 'to', 'he', 'of', 'for', 'that', 'killed']","['Men are melting down. Like it or not, Luigi had his code and he did what he felt was just. \n\nMost people know murder is wrong, but as an example, most people wouldn’t hesitate to kill a pedophile, they have accepted the terms and so did Luigi. That’s why he’s a hero to many.', ""Luigi should be considered a hero for doing what he did, he shot the man in charge of making money off the suffering of hundreds. The news shouldn't be shaming Luigi but instead focusing on the people who have suffered due to the man Luigi killed that day #UnitedHealthcare"", ""Not one sane person has stated it was Luigi's right to murder Thompson.\n\nWhat is being said is that Thompson was responsible for a company that ALLOWED tens of thousands of people die.\n\nThat is why Thompson was killed. People are saying they understand why it happened.""]"
7,542,7_unitedhealthcare_ceo_the_of,"['unitedhealthcare', 'ceo', 'the', 'of', 'lorenz', 'to', 'taylor', 'and', 'murder', 'she']","['Taylor Lorenz says she felt ""joy"" after the sho*ting of UnitedHealthcare\'s CEO because she believes ""in the sanctity of life""', '3) ""And people wonder why we want these executives dead."" -- Taylor Lorenz on the murder of UnitedHealthcare CEO Brian Thompson.', 'Read more: Taylor Lorenz says she ""felt joy"" after the murder of UnitedHealthcare CEO']"
8,535,8_the_ceo_luigi_and,"['the', 'ceo', 'luigi', 'and', 'to', 'that', 'of', 'is', 'ceos', 'people']","[""Are you concerned about what the American people should do, or what they are doing?\n\nBecause what if they decide that Luigi is just a good guy who couldn't live with what that rat faced fuck of a CEO allowed to happen to his mother?"", 'yeah the life of a dad who denied healthcare to people, robbed them of their money and left them to die.\nwhat a wonderful person that CEO was.\nand also, we dont even know if this luigi guy killed him.', 'The CEO killed this man\n\nThe CEO deserved to die in pain and suffering like the people he killed\n\nLuigi is a merciful martyr that put his life on the line for the sake of the American people, and killed his target humanely\n\nLuigi is a hero and you are a bootlicking dog.']"
9,483,9_brian_thompson_was_he,"['brian', 'thompson', 'was', 'he', 'the', 'to', 'of', 'his', 'in', 'and']","['Fuck you and Brian Thompson', 'I killed Brian Thompson', 'I killed Brian Thompson.']"
