Topic,Count,Name,Representation,Representative_Docs
0,838,0_mangione_luigi_the_is,"['mangione', 'luigi', 'the', 'is', 'to', 'of', 'and', 'he', 'in', 'for']","['LUIGI MANGIONE is a BLOODY COWARD and a PUNK.\nHe shot a man in COLD BLOOD and in THE BACK. \nThat mans FAMILY now have the worst Christmas to go through this year. Thanks to this piece of filth. \nAnd people SUPPORTING him or CHEERING HIM ON and getting TATTOOS of him on them. I…', ""Luigi Mangione is NOT a hero, he's a cold blooded killer and a fucking coward, he shot a man 3 times in the back then ran away like a pussy, he couldn't be man enough to own what he did. When he is found guilty and sent to prison Big Bubba is going to make him his bitch."", 'Luigi Mangione is not a hero.']"
1,790,1_luigi_you_to_is,"['luigi', 'you', 'to', 'is', 'the', 'this', 'and', 'that', 'his', 'for']","['""This is Luigi. He\'s my bitch.""', 'If you think Luigi is the good guy and the “rich dickhead” that “nobody liked” is the bad guy, you should read this. People like you are insufferable.', 'How do they not get the message they are sending is ""if you do what Luigi did, you will also look this cool and badass"". If I didn\'t know any better, I\'d say they WANT copycats.']"
2,715,2_luigi_the_is_and,"['luigi', 'the', 'is', 'and', 'to', 'he', 'in', 'you', 'that', 'of']","['stop drinking the coolaid. there is a difference in cold blooded murder(shooting someone in the back of the head) and shooting in self defense. he luigi had a beef with the guy, he could have taken it to court, you dont just walk up and kill someone.', 'Luigi murdered a man from behind in a cold and calculated attack, presumably for the actions of the company the man worked for. He is a coward and a loser and should face a very very swift death penalty if he is indeed the one who did this. It was cowardly and I just love the way…', 'He murdered someone doing legal business in cold blood and shot him in the back. Luigi is a piece of shit coward and he’s going to get what he deserves.']"
3,686,3_unitedhealthcare_the_ceo_of,"['unitedhealthcare', 'the', 'ceo', 'of', 'brian', 'thompson', 'murder', 'to', 'this', 'is']","['#UnitedHealthcare CEO killer', '. on the killing of the UnitedHealthcare CEO: ""What has been shocking to me is how much support there has been online for a heinous murder! This is a human being. He was murdered in cold blood from behind.""', '“THE WAY THE LEFT IS FANTASIZING OVER THE DEATH OF ANOTHER HUMAN BEING IS JUST SICK!”  and the hosts of  discuss the liberal support of the murderer of UnitedHealthCare’s CEO. ""The left seems to be on the other side of right and wrong.”']"
4,656,4_mangione_ceo_the_of,"['mangione', 'ceo', 'the', 'of', 'luigi', 'to', 'unitedhealthcare', 'and', 'in', 'is']","['The killer of UnitedHealthcare CEO Brian Thompson, Luigi Mangione, we are told, is a very bright young man that got somehow so radicalized that he came to the conclusion that murder is a legitimate act…\n\n“Out of touch”\n\n“An insult to the intelligence of the American people”\n\n🤔', 'Luigi Mangione, 26, arrested for the murder of UnitedHealthcare CEO Brian Thompson, allegedly wrote in a manifesto, “These parasites had it coming” and, “It had to be done.” Mangione is a UPenn graduate from a wealthy family.', 'The people glorifying Luigi Mangione for his murder of the united healthcare CEO are just as bad as him']"
5,553,5_mangione_the_luigi_to,"['mangione', 'the', 'luigi', 'to', 'and', 'of', 'is', 'in', 'are', 'for']","['Luigi Mangione Loses It As He Arrives To Court\n\nLuigi Mangione: ""completely out of touch and this is an insult to the intelligence of the American people.""', 'NYC Mayor Eric Adams on his decision to escort Luigi Mangione in Manhattan:\n\n“I’m not going to just allow him into the city. I wanted to look him in the eye and say you carried out this terroristic act in my city, the city that the people of New York love”', '🚨#BREAKING: LUIGI MANGIONE IS A TERRORIST \n\nThis is according to the indictment from a New York Grand jury. \n\n⚠️ Luigi Mangione indicted on murder charges for shooting of UnitedHealthcare CEO Brian Thompson\n\nMangione has been charged with:\n\n⚠️First-Degree Murder…']"
6,495,6_mangione_the_is_to,"['mangione', 'the', 'is', 'to', 'and', 'of', 'he', 'in', 'for', 'you']","['Mangione ain’t the hero some of y’all think he is. He’s a dude with a savior complex who believes that he’s gonna be the one to fix what he finds fundamentally wrong with humanity and he’s going to do it in a revolutionary way that no one else is willing to do. He quotes the…', 'Mangione is NO hero.. he is NO Robin Hood.. he is a cold blooded murder who shot a man in the back.. He is a coward', ""1 is too many, and Mangione shot Thompson in the back like the coward he is. There is no punishment great enough, but I don't think we need to house and feed him for the rest of his life. Death is appropriate in this case.""]"
7,458,7_luigi_is_and_the,"['luigi', 'is', 'and', 'the', 'of', 'this', 'to', 'he', 'hero', 'are']","[""its believable that people would think this way, but in MY analysis, they are the same level of bad. \nits not because luigi told himself a story about how he's the hero therefore his murder is somehow mitigated.\nbut I know I'm in the minority with this opinion"", 'I was with you until this comment lol. Like “the black guy” (as if that has any relevance to the story) who was trying and threatening to kill people deserved to be stopped and Penny stepping up to protect the people is definitely a hero. Luigi is ain’t a hero but meh I get it.', 'Luigi comes from a well to do family and is a narcissistic sociopath and the people that are supporting him are falling all over him because he’s hot. This is how sick our society has become. This pos is no hero.']"
8,437,8_brian_thompson_the_of,"['brian', 'thompson', 'the', 'of', 'to', 'he', 'and', 'was', 'you', 'thompsons']","['Brian Thompson was shot in the back. The murderer is not a hero.', '“bRiAn ThOmPsOn HaD a FaMiLy!”\n\nMe talking to Brian Thompson’s family:', 'I killed Brian Thompson.']"
9,415,9_luigi_prison_to_in,"['luigi', 'prison', 'to', 'in', 'is', 'the', 'for', 'be', 'he', 'and']","['They are going to love Luigi in prison.', 'Luigi is going to be raped in every hole that he has in his body when he gets to prison.', 'Luigi deserves to go to jail for life for what he did. \n\nThink of that guys family 😢']"
10,281,10_the_luigi_is_terrorist,"['the', 'luigi', 'is', 'terrorist', 'to', 'and', 'they', 'terrorism', 'that', 'are']","['Your original point is that luigi committed terrorism. My response to that is that terrorism is a reaction, he murdered the ceo because he wanted to make a political statement, so yes he did commit terrorism. I think we should all commit terrorism in that sense', 'If you use violence (like murder) to make a political statement it is the literal definition of terrorism. This is not hard to understand. It’s not surprising either that those who support Hamas also support Luigi.', 'The fact that the biggest terrorists in our entire country is calling someone who just murdered ONE PERSON for political reasons a terrorist is fucking hilarious. Yeah, Luigi does fall under the definition of terrorism, because he committed political violence.']"
11,259,11_penny_daniel_mangione_the,"['penny', 'daniel', 'mangione', 'the', 'is', 'rittenhouse', 'and', 'to', 'in', 'luigi']","['Daniel Penny & Kyle Rittenhouse are heroes.\nLuigi Mangione is a cold blooded murderer.', 'Luigi Mangione is a murderer and Daniel Penny is not. It’s that simple.', ""Well, Mangione is a murderer and Daniel Penny isn't.""]"
