Topic,Count,Name,Representation,Representative_Docs
0,723,0_luigi_need_we_you,"['luigi', 'need', 'we', 'you', 'him', 'to', 'this', 'thank', 'get', 'wheres']","['We need more Luigi’s!!', 'We need more Luigi 🔫', 'We need more Luigi’s!']"
1,603,1_mangione_the_is_luigi,"['mangione', 'the', 'is', 'luigi', 'of', 'and', 'healthcare', 'to', 'ceo', 'for']","['He took on the corrupt healthcare system is what he did, and in this house, Luigi Mangione is an Italian American hero, end of story!', 'He took on the corrupt healthcare system is what he did, and in this house Luigi Mangione is an Italian American hero, end of story!', ""Canadian Jury:\n'Americans pay money for healthcare and then they are denied healthcare.'\n\nWhat did Luigi Mangione say that was wrong?\n\n“These parasites had it coming … I do apologize for any strife and trauma, but it had to be done.”\n- Luigi Mangione ()""]"
2,541,2_mangione_luigi_free_my,"['mangione', 'luigi', 'free', 'my', 'this', 'is', 'in', 'me', 'need', 'the']","['This one’s for you, Luigi Mangione ❤️\u200d🔥', 'Luigi Mangione, we need you!', 'FREE LUIGI MANGIONE , HE IS A HERO']"
3,513,3_unitedhealthcare_ceo_the_of,"['unitedhealthcare', 'ceo', 'the', 'of', 'to', 'and', 'is', 'for', 'are', 'ceos']","['And this is the health system as well a lot of those people lose their insurance and can get the care that they need to go to work. Because of people like the man Brian Thompson that just got assassinated for being too greedy. I’m sure others will b', ""I think if you see all the reactions to the killing of the UnitedHealthcare CEO and think there's something wrong with them, you are right. People's lives have been ruined by that healthcare company and the structure of the system it supports. It's a depraved system."", 'When I shot the CEO of UnitedHealthcare']"
4,479,4_brian_thompson_was_the,"['brian', 'thompson', 'was', 'the', 'of', 'to', 'people', 'and', 'he', 'killed']","['Brian Thompson was a murderer.', 'Brian Thompson killed more people than his killer.', 'I killed Brian Thompson.']"
5,466,5_the_healthcare_luigi_insurance,"['the', 'healthcare', 'luigi', 'insurance', 'to', 'and', 'health', 'is', 'of', 'that']","['How many loved ones have died from health care denied to them health insurance companies?\n\nWhat Luigi did was the inevitable result of a system which denies people life saving care', 'What’s crazy is Luigi will probably end up having better healthcare for the rest of his life than most Americans. That’s how bad our healthcare system is. Killing a healthcare CEO can actually improve your healthcare…', 'This fund isn’t about Luigi. It’s about the fact that the real criminals are in the health insurance industry. If we are going to rip on this COO getting gunned down, we need to talk about the thousands of people that were rejected by health insurance companies.']"
6,460,6_ceo_the_luigi_that,"['ceo', 'the', 'luigi', 'that', 'ceos', 'and', 'to', 'is', 'of', 'people']","['What’s y’all thoughts on the ceo being killed? I personally see Luigi as a hero bc the ceo has denied so many people and they died', ""That CEO felt the need to decide who should live and who should not by denying health care, he only cared about their money, he killed a LOT of people, Luigi killed only one, the murderer of all those people, that's justice"", 'That ceo killed more people than Luigi ever did']"
7,374,7_luigi_did_he_this,"['luigi', 'did', 'he', 'this', 'the', 'was', 'to', 'wrong', 'that', 'it']","['even if I was him, luigi did nothing wrong', 'See now why Luigi did what he did??', 'This is why Luigi did what he did']"
8,362,8_brian_thompson_of_the,"['brian', 'thompson', 'of', 'the', 'to', 'and', 'his', 'for', 'people', 'was']","['Just a reminder that Brian Thompson would have (and did) watch thousands of people die if it meant his company made more money. The lives of others meant nothing to him, why should we feel bad for the loss of his?\n\nThere is no sympathy left for the deaths of evil people.', ""He's a murderer for sure, but so is Brian Thompson for denying healthcare, which people with families died. Brian Thompson should be in prison for murder."", ""The CEO Brian Thompson had 'zero remorse' for taking the lives of hundreds of thousands of Americans who will not be with their 'loved ones' at Christmas because they were mass-murdered by Brian Thompson. So think about those countless thousands of families as well.""]"
9,355,9_brian_thompson_ceo_the,"['brian', 'thompson', 'ceo', 'the', 'of', 'united', 'unitedhealthcare', 'healthcare', 'in', 'to']","['In as much as I hate the fact that people are cheering on Brian Thompsons’ demise, Brian had it coming. Too many people died because UHC insurance refused to cover medical procedures. Profiting off of people’s suffering is a NO NO. The next #UnitedHealthcare CEO has to do better', 'UnitedHealthcare CEO Brian Thompson was fatally shot in New York City today. I will not shed one tear for the CEO of a greedy insurance company. Instead I weep for every person who has died due to lack of healthcare and for the 100 million Americans saddled with medical debt.', 'United HealthCare had the highest rate of claims denials for its members of any health insurance company in America and double the industry average.\n\nThey say that the reason Brian Thompson died was because they had to wait on prior authorization from UHC to get him admitted to a…']"
10,347,10_mangione_luigi_hero_the,"['mangione', 'luigi', 'hero', 'the', 'pardon', 'is', 'to', 'and', 'he', 'for']","['“He was an Italian hero is what he was. In this house, Luigi Mangione is a hero, end of story!”', 'Mangione is a hero', 'Luigi Mangione is the hero of the people.']"
11,341,11_luigi_hero_is_the,"['luigi', 'hero', 'is', 'the', 'for', 'and', 'to', 'you', 'we', 'of']","['And this is why Luigi is a hero', 'Luigi, the hero of the people.', '$Hero is $Luigi 2.0']"
